Frame,
0,"(199, 277)","(766, 248)"
1,"(141, 408)","(845, 373)"
2,"(301, 307)","(302, 273)"
3,"(113, 277)"
4
5
6
7
8
9
10,"(119, 416)","(195, 418)","(267, 413)","(337, 408)","(406, 409)","(474, 402)","(545, 402)","(611, 396)","(685, 396)","(757, 388)","(828, 389)","(888, 381)","(960, 381)"
11
12
13
14
15
16
17
18
19,"(121, 417)","(192, 416)","(267, 414)","(338, 409)","(402, 406)","(473, 402)","(542, 406)","(614, 396)","(684, 394)","(757, 390)","(823, 386)","(893, 382)","(962, 378)"
20
21
22,"(119, 417)","(194, 415)","(265, 410)","(332, 408)","(406, 405)","(471, 404)","(544, 402)","(613, 398)","(678, 393)","(751, 389)","(822, 386)","(891, 380)","(959, 378)"
23
24,"(121, 414)","(193, 414)","(264, 411)","(331, 409)","(403, 401)","(477, 406)","(543, 396)","(611, 396)","(680, 393)","(754, 390)","(821, 386)","(893, 382)","(958, 377)"
25
26,"(123, 414)","(195, 414)","(261, 410)","(332, 408)","(399, 406)","(471, 404)","(543, 399)","(615, 396)","(683, 394)","(752, 390)","(825, 386)","(895, 382)","(959, 375)"
27
28,"(121, 415)","(194, 414)","(263, 408)","(331, 406)","(403, 407)","(476, 402)","(544, 400)","(611, 395)","(682, 388)","(748, 386)","(823, 381)","(891, 380)","(961, 376)"
29
30,"(123, 412)","(193, 411)","(259, 409)","(332, 406)","(404, 401)","(467, 400)","(538, 398)","(609, 395)","(677, 391)","(749, 386)","(823, 384)","(889, 380)","(961, 377)"
31
32,"(122, 413)","(193, 411)","(255, 409)","(329, 409)","(403, 405)","(472, 402)","(541, 394)","(611, 396)","(684, 390)","(758, 388)","(821, 386)","(893, 383)","(955, 378)"
33
34,"(121, 416)","(189, 415)","(258, 410)","(331, 408)","(398, 402)","(470, 400)","(543, 396)","(612, 396)","(680, 389)","(749, 387)","(818, 383)","(893, 382)","(961, 376)"
35
36,"(117, 414)","(191, 413)","(261, 412)","(329, 410)","(401, 403)","(468, 398)","(540, 398)","(609, 390)","(677, 393)","(747, 388)","(820, 382)","(894, 380)","(957, 378)"
37
38,"(121, 415)","(192, 409)","(265, 408)","(331, 406)","(403, 403)","(467, 398)","(543, 394)","(607, 392)","(675, 388)","(749, 384)","(814, 378)","(892, 376)","(964, 376)"
39
40,"(126, 408)","(195, 409)","(266, 404)","(331, 400)","(397, 397)","(473, 395)","(539, 393)","(609, 390)","(679, 385)","(747, 382)","(818, 381)","(888, 378)","(962, 372)"
41
42,"(123, 410)","(198, 410)","(263, 408)","(329, 400)","(402, 399)","(470, 399)","(536, 396)","(609, 392)","(679, 388)","(747, 383)","(824, 382)","(887, 375)","(958, 372)"
43
44,"(125, 410)","(197, 405)","(265, 402)","(335, 402)","(403, 397)","(470, 394)","(541, 389)","(609, 389)","(681, 386)","(749, 382)","(818, 380)","(883, 376)","(957, 372)"
45
