frame,
0,"(370, 440)","(1013, 408)"
1,"(255, 578)","(1144, 522)"
2,"(537, 470)","(537, 435)"
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
