frame,
0,"(309, 445)","(859, 417)"
1,"(166, 577)","(1060, 526)"
2,"(991, 441)","(989, 407)"
3,"(172, 450)"
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50,"(252, 576)","(337, 569)","(428, 564)","(514, 557)","(602, 556)","(684, 548)","(765, 542)","(855, 539)","(958, 527)","(1046, 524)","(1128, 520)","(1206, 515)","(1300, 512)","(1382, 511)","(1470, 503)"
51
52,"(240, 572)","(325, 571)","(416, 567)","(503, 560)","(598, 556)","(679, 551)","(768, 547)","(859, 536)","(951, 528)","(1043, 523)","(1123, 522)","(1226, 514)","(1304, 513)","(1389, 508)","(1475, 497)"
53
54,"(246, 576)","(326, 569)","(412, 564)","(504, 564)","(589, 555)","(674, 549)","(776, 544)","(856, 536)","(943, 527)","(1045, 526)","(1119, 524)","(1209, 518)","(1302, 517)","(1390, 504)","(1480, 495)"
55,"(241, 572)","(322, 572)","(414, 566)","(501, 561)","(591, 555)","(682, 549)","(767, 542)","(846, 539)","(955, 529)","(1045, 524)","(1126, 520)","(1213, 513)","(1312, 507)","(1399, 503)"
56
57,"(239, 573)","(320, 571)","(424, 564)","(507, 561)","(590, 556)","(685, 551)","(770, 546)","(858, 539)","(951, 539)","(1038, 528)","(1126, 528)","(1214, 520)","(1312, 513)","(1397, 506)","(1482, 499)"
58
59,"(238, 575)","(319, 568)","(421, 563)","(505, 558)","(596, 553)","(687, 551)","(763, 542)","(863, 533)","(938, 533)","(1038, 526)","(1126, 525)","(1209, 522)","(1314, 514)","(1392, 502)","(1482, 506)"
60,"(242, 575)","(312, 569)","(419, 564)","(504, 560)","(585, 554)","(666, 544)","(774, 539)","(854, 531)","(934, 526)","(1034, 518)","(1125, 516)","(1215, 512)","(1309, 504)","(1397, 498)"
61
62,"(238, 570)","(323, 565)","(414, 557)","(507, 557)","(596, 550)","(681, 547)","(762, 538)","(853, 528)","(946, 529)","(1042, 524)","(1124, 513)","(1217, 509)","(1304, 508)","(1397, 503)","(1483, 492)"
63
64,"(242, 567)","(323, 564)","(416, 561)","(508, 559)","(599, 553)","(676, 544)","(763, 538)","(861, 528)","(955, 531)","(1040, 522)","(1129, 517)","(1225, 509)","(1306, 501)","(1395, 492)","(1477, 486)"
65,"(244, 566)","(334, 561)","(418, 559)","(507, 556)","(593, 545)","(677, 538)","(761, 532)","(853, 534)","(955, 525)","(1040, 511)","(1125, 511)","(1219, 507)","(1305, 500)","(1395, 496)"
66
67,"(239, 561)","(328, 558)","(416, 551)","(500, 547)","(584, 544)","(678, 540)","(764, 531)","(855, 530)","(951, 522)","(1030, 521)","(1132, 513)","(1219, 508)","(1296, 502)","(1392, 500)","(1477, 496)"
68
69,"(238, 558)","(326, 560)","(413, 556)","(498, 554)","(578, 545)","(683, 540)","(765, 532)","(859, 532)","(947, 523)","(1035, 513)","(1128, 509)","(1216, 510)","(1289, 500)","(1387, 495)","(1479, 487)"
70,"(240, 562)","(324, 555)","(415, 554)","(499, 551)","(590, 546)","(676, 538)","(760, 525)","(855, 520)","(955, 517)","(1039, 511)","(1119, 506)","(1216, 504)","(1306, 494)","(1419, 479)"
71
