channel,height [mm],v_avg [mm/s],mdot [g/s]
18,1.8034032097861896,125.40205735686943,0.24152870489824976
17,1.6853015491313377,121.22635649241163,0.21819556810687935
16,1.7076498161604556,122.02748213791503,0.2225500615452086
15,1.6945370902817718,121.5580660723798,0.21999160789018457
14,1.5975639082022068,118.02862906737182,0.20138024083203723
13,1.6805966508094174,121.05702290680256,0.21728249310741227
12,1.8529788976597494,127.1140275012676,0.2515563040742244
11,1.8255336574485517,126.16914635897072,0.2459881927881235
10,1.6617334936483878,120.37572871893217,0.2136345820905333
9,1.8279732343562145,126.25342214604002,0.24648145202599825
8,1.893972502483142,128.51241271430945,0.2599501062704564
7,1.7683342917385483,124.17678939302682,0.23451792801635957
6,1.74637809956959,123.40347251291931,0.23016374209030338
5,1.5137034520013248,114.88905126882872,0.18573369434097248
