channel,height [mm],v_avg [mm/s],mdot [g/s]
18,4.360036245142629,194.985938102325,0.9079556689237849
17,3.9234391064178307,184.96591309742314,0.7750502665831605
16,3.5993674525589423,177.1623102872447,0.6810339667038848
15,3.415092268283758,172.56768115563924,0.6294093033198594
14,3.5145050272709852,175.06137163235928,0.6570913474893169
13,3.4093418370014117,172.42233271433346,0.6278202462901864
12,3.327354627354628,170.33652676549548,0.6053103926174535
11,3.1826354400822487,166.59105929646168,0.5662521147513703
10,3.500956662658791,174.72361631555322,0.6532953956529108
9,3.6549113910816042,178.52402451835889,0.6968587761678655
8,4.246683046683048,192.43460231225612,0.8727789591346088
7,4.271078815759667,192.98654687160013,0.8803104832106546
6,4.414142575844704,196.1920570802137,0.9249090526299479
5,4.296694373290118,193.5643948020654,0.8882417651443848
