channel,height [mm],v_avg [mm/s],mdot [g/s]
18,2.057772666283306,133.95438645296548,0.2943917168697362
17,2.1155819262202247,135.82295239259219,0.30688401490847744
16,1.9101782633697537,129.0610493393892,0.2632936246503065
15,1.9679875233066735,130.9994320721819,0.2753360047340394
14,1.800092355411505,125.28689212837999,0.24086387917280494
13,1.8974576123512303,128.63059659234548,0.2606679398040352
12,1.5004164706292373,114.38370348912011,0.18329356978933878
11,1.806452680920767,125.50803710372132,0.24214158455013268
10,1.7053844947461982,121.94651612156392,0.22210736523121064
9,2.040085733702756,133.37746285594142,0.2906043583934268
8,2.1817554498405567,137.9308070106517,0.3213946176093503
7,1.9286057817972724,129.68208209799923,0.26711279503613017
6,1.8111575792426864,125.67137339504261,0.24308818532671142
5,2.054461811908621,133.84658008273198,0.29368151018009075
