channel,height [mm],v_avg [mm/s],mdot [g/s]
18,2.9565825012633526,160.56587249791417,0.50700763385448
17,3.095551257253385,164.29609539867195,0.5431708996309574
16,2.808988098349801,156.50679288008646,0.4695202673698124
15,2.9459093522923316,160.2757921583579,0.5042646960098135
14,2.980542631606462,161.21517220041156,0.5131832847702507
13,3.0049384006830824,161.8736014733609,0.5194967748006155
12,2.7933922316901048,156.07171511948508,0.46561544373021047
11,2.7366285047136114,154.47783194071147,0.4514953320353109
10,2.87150225660864,158.2387426568707,0.48528094427242213
9,3.2355219823304933,167.9694962959701,0.5804248894651998
8,3.261965253454616,168.65449003843406,0.5875549522159043
7,3.3640789725896116,171.27395785986093,0.6153593003613793
6,3.2521198180772655,168.39977676242253,0.5848968764619444
5,3.468153066025407,173.9031188212033,0.6441349738928541
