channel,height [mm],v_avg [mm/s],mdot [g/s]
18,2.445796086221619,146.03883686147503,0.3814695382951395
17,2.200836426368342,138.53264466519056,0.3256200535824733
16,2.045879728858453,133.56672952365687,0.29184324396037065
15,1.9407165385888794,130.0886167829262,0.26963275891772454
14,1.914665342324918,129.21254499882465,0.2642218988586422
13,2.226844058758953,139.34877176487086,0.3314089274459573
12,2.0903148796765825,135.00942837735371,0.3014026477921115
11,2.0247076864098146,132.8738161772047,0.2873247202482793
10,2.3061738721313194,141.80915402393845,0.3492750523161084
9,2.363983132068239,143.57553033729337,0.362490020863981
8,2.461348389007964,146.50241619901513,0.3851138431518311
7,2.3227717078780916,142.31854866002868,0.3530524962204836
6,2.3260389983794245,142.41860856597563,0.35379768177751203
5,2.248146792827645,140.01371373353777,0.33617583542271295
