channel,height [mm],v_avg [mm/s],mdot [g/s]
18,1.9745656681826897,131.21818710282906,0.2767176543504394
17,1.9716904525415169,131.12261721824356,0.27611347093020655
16,2.024751250283166,132.8752456346524,0.2873339934721156
15,1.9113980518235847,129.10225022013233,0.26354586324666446
14,1.9167128443724195,129.28161510024347,0.26464584199370966
13,1.9642845940718292,130.87613098004678,0.2745592696273093
12,2.1591893634446837,137.215637772222,0.3164212146752325
11,2.079249655845401,134.65161342877366,0.2990125747007004
10,1.9536114451008073,130.52008198464728,0.2723245417473904
9,2.186678167529232,138.0863266976673,0.32248298002013664
8,2.173565441650549,137.67167701162353,0.3195866106089061
7,1.9783992890375872,131.34550544425858,0.2775239167012695
6,2.021876034641993,132.78086843396596,0.2867221747362872
5,1.8771568473696139,127.94064135005357,0.2564958472328767
