channel,height [mm],v_avg [mm/s],mdot [g/s]
18,4.032697300782408,187.52365307561232,0.8076495064030582
17,3.8258995939847007,182.652250080711,0.7463281929450288
16,3.5993674525589423,177.1623102872447,0.6810339667038848
15,3.7656071932667685,181.2073252528336,0.7287557887509408
14,3.5792845069440817,176.66737361650112,0.6753421032102711
13,3.507534807534808,174.88768830796388,0.6551375306316465
12,3.5632965654242255,176.27236326349987,0.6708222346445714
11,3.5229128548277493,175.27064812483002,0.6594507182689558
10,3.634610626099988,178.02753904829413,0.6910609185544689
9,3.5989753776987823,177.15266098349576,0.6809226933916137
8,3.7522766480213297,180.88629680201316,0.7248894365029823
7,3.891245404011362,184.2054828797967,0.7655303728778824
6,3.7090177217836797,179.84058088750075,0.7123900709169292
5,3.7920504643908903,181.84245942432852,0.7364455759300153
