channel,height [mm],v_avg [mm/s],mdot [g/s]
18,2.4123825953613194,145.03784413576585,0.3736790712804552
17,2.374046386812345,143.8807995981523,0.3648071115020658
16,2.2020562148221727,138.57102941542055,0.3258907978817932
15,2.54969592416401,149.10851236166957,0.40603369913012394
14,2.548868210570339,149.08430767915635,0.4058359977108928
13,2.3332270374823576,142.6384932858103,0.35543893238037183
12,2.476290797567394,146.94643838755562,0.38862609680618776
11,2.408636102253124,144.9251765969159,0.3728089093251596
10,2.7276107829299323,154.2231047124555,0.4492655244211882
9,2.7015595866659705,153.48485135584966,0.4428445676564082
8,2.4715858992454742,146.8067745079243,0.3875190514450454
7,2.495981668322095,147.52952297004376,0.3932706918406609
6,2.3076114799519063,141.85334717651403,0.3496016964582878
5,2.5945667137156505,150.41483219284086,0.41679908640292374
