channel,height [mm],v_avg [mm/s],mdot [g/s]
18,2.4021450851238093,144.72976591661998,0.37130290478673367
17,2.35496541028456,143.30142489759606,0.36041785200205584
16,2.1938662066321646,138.3130988801584,0.32407438305035985
15,2.2660079809015987,140.56880732745063,0.34019008194017014
14,2.152654782442017,137.0078454063649,0.314985874014022
13,2.1477320647533418,136.85110012217348,0.313906021545545
12,2.1741753358774645,137.6909907323333,0.31972113223232007
11,2.3758760694930916,143.9362335410364,0.36522892919372923
10,2.333444856849113,142.64515116793933,0.35548870676290817
9,2.1887256695767334,138.1509603249616,0.32293602275343486
8,2.044006482304356,133.505567395873,0.29144250985318565
7,1.9101782633697537,129.0610493393892,0.2632936246503065
6,2.3928659801000234,144.44996139311428,0.3691535575385604
5,2.3252112847857536,142.39326670644147,0.3536088519057114
