channel,height [mm],v_avg [mm/s],mdot [g/s]
18,1.6492742258699709,119.9236058896919,0.21123642230143058
17,1.765067001237215,124.06201776042703,0.2338682622644318
16,1.5057748270514235,114.5877676363774,0.18427632556252638
15,1.431977625594648,111.74455197093653,0.17089676568238404
14,1.6711868541655788,120.71764315262227,0.21546017650708468
13,1.724247651907227,122.61908303616943,0.2258026112924134
12,1.7445484168888434,123.33881057992538,0.22980212255635676
11,1.8337236656385603,126.45184998396918,0.24764543687117926
10,1.9856308920138712,131.5853387667523,0.27904694771558725
9,1.9739122100824238,131.19647278764296,0.2765803012850336
8,1.7105250318016285,122.13016939851596,0.22311236830314957
7,1.895192290936973,128.5537894306131,0.2602012729472079
6,1.7859340965723955,124.7932102404265,0.2380277757339643
5,1.8955843657971325,128.56708626141838,0.26028202226301606
