channel,height [mm],v_avg [mm/s],mdot [g/s]
18,3.9453952985867886,185.48274044685883,0.7815653179127365
17,4.080269050481817,188.62647247987607,0.8219827372889602
16,3.945787373446948,185.49195641983343,0.7816818232445302
15,3.7656071932667685,181.2073252528336,0.7287557887509408
14,3.7750169899106076,181.4335915755969,0.7314891033085902
13,3.624155296495722,177.77129741733535,0.6880812027587491
12,3.767219056580759,181.2461038847021,0.7292237532864774
11,3.5229128548277493,175.27064812483002,0.6594507182689558
10,3.705532611915591,179.75606909337986,0.7113862305979097
9,3.5839894052660015,176.78344835962315,0.6766741263516937
8,3.775452628644118,181.44406003442688,0.7316157282406391
7,3.7446529701848856,180.7024457499461,0.7226813708106191
6,3.8863226863226865,184.08892912050368,0.7640781522867092
5,3.8602714900587247,183.47088977086278,0.756408271300764
