channel,height [mm],v_avg [mm/s],mdot [g/s]
18,1.8681826894592861,127.63445088253006,0.25465869579416633
17,1.9212434872009343,129.4343200561279,0.265584733849229
16,1.7267307926882403,122.70734498081791,0.2262905645399801
15,1.861604544583269,127.40954292660383,0.25331484465665294
14,1.6957568787356028,121.60180912541742,0.22022918738291658
13,1.8824716399184496,128.12163244389637,0.2575859426241174
12,1.850931395612247,127.04377894937949,0.25113947277170356
11,1.914883161691673,129.21989463682206,0.26426698842252505
10,1.9890724380086091,131.69932292701841,0.27977273888554754
9,2.0093732029902247,132.36968810900314,0.28406675125826425
8,1.716014079843868,122.32596934518249,0.22418717555631054
7,1.724029832540472,122.61133772923658,0.22575982512849613
6,2.523818983393452,148.34992934002668,0.39986813686747025
5,1.9999198424730347,132.0579457146175,0.28206446679827096
