channel,height [mm],v_avg [mm/s],mdot [g/s]
18,2.3492073762536405,143.12612731759268,0.35909679490308566
17,2.2518925913943715,140.13030863078455,0.3370163752962825
16,2.3844063409899716,144.19439411236675,0.36719765353739225
15,2.3920414105467493,144.4250708844128,0.36896276129547834
14,2.5318020058233586,148.58436489341565,0.4017668541999771
13,2.5949530896150117,150.42603146212065,0.4168921927680335
12,2.486768036234229,147.25697700266184,0.3910951316822419
11,2.5710126172759633,149.73052468567124,0.4111362847929692
10,2.523778712390812,148.34874577173844,0.3998585662366141
9,2.428275638951796,145.5148225153014,0.37737790532648124
8,2.587318020058234,150.2045709521112,0.41505362865163975
7,2.591329666774507,150.3209722369893,0.4160193161490321
6,2.819734713684892,156.80588861178734,0.472217275934026
5,2.8527337431252024,157.7207603331019,0.48053093777316774
