channel,height [mm],v_avg [mm/s],mdot [g/s]
18,1.5710773212552578,117.04612014648693,0.1963929232364721
17,1.6661921708185057,120.53711349429838,0.2144949784434754
16,1.6792623746360409,121.00895796107939,0.21702378382461598
15,1.7725655127790363,124.32526401111399,0.2353601532772703
14,1.64872209640893,119.90353072652144,0.2111303573834089
13,1.784859268845035,124.75565247446188,0.23781292988072333
12,1.8516337754771923,127.06788155218892,0.2512824375860733
11,1.7953413134907796,125.12144601801722,0.23991092892416271
10,2.035781300549984,133.2366801627685,0.28968511248026835
9,1.9831122614040764,131.5018589961509,0.2785161895028402
8,1.9769006793917834,131.29574983332992,0.27720864572594345
7,2.0135231316725983,132.50630818261092,0.28494722374826453
6,1.9499838240051766,130.39884564414342,0.2715663831729294
5,1.8370106761565843,126.56513380898163,0.24831160417475334
