channel,height [mm],v_avg [mm/s],mdot [g/s]
18,3.2606276285991593,168.619906658095,0.5871935837751172
17,3.0885150436751863,164.10926598107622,0.5413200044907015
16,2.923649304432223,159.66910137734538,0.4985599762695152
15,2.936719508249758,160.02560455107766,0.5019069361045246
14,3.2700744095761896,168.86399513070975,0.5897472815596821
13,3.15166612746684,165.77855299015866,0.5580071983276791
12,3.203946942736979,167.1478906258361,0.5719492153301622
11,3.284568100938208,169.23780263339862,0.59367245798671
10,3.566677450663216,176.3559677747913,0.671777183593789
9,3.705791006146878,179.76233635998608,0.7114606414810078
8,3.51620834681333,175.1037886061071,0.6575690984631999
7,3.5859592364930446,176.8320235201174,0.6772320731571012
6,3.65092203170495,178.42656785486622,0.6957181487811818
5,3.467939178259463,173.897756266211,0.6440753872207647
