channel,height [mm],v_avg [mm/s],mdot [g/s]
18,1.7013911355548377,121.80365635742707,0.2213276861666133
17,1.6258168877385968,119.0677255224125,0.2067459166268116
16,1.68650922031705,121.26978354546806,0.2184301454457641
15,1.6428987382724038,119.69159117388055,0.21001276328163893
14,1.6704626334519581,120.69148339340717,0.21532013488112528
13,1.6762859915884833,120.90167015658459,0.2164470488140673
12,1.7002264639275326,121.76195943498973,0.221100463320751
11,1.789906179230023,124.93190898599846,0.23882231079668031
10,1.6214170171465554,118.90650272175179,0.20590722479587692
9,1.8552571983176973,127.19214900822426,0.2520203922181616
8,1.6958265933354912,121.60430869786435,0.22024276835168993
7,1.8210934972500814,126.01561528644261,0.245091280343516
6,1.8926560983500496,128.46774372430005,0.25967913618594046
5,1.9877709479132966,131.6562291188835,0.27949819241442786
