channel,height [mm],v_avg [mm/s],mdot [g/s]
18,2.1338725331607895,136.40882848687653,0.3108724279512244
17,2.1433193141378197,136.71044005225713,0.31293908721764657
16,2.1425428663862833,136.6856751634508,0.31276905270023214
15,2.120025881591718,135.9655312477386,0.3078514755265443
14,1.9340666450986745,129.86555026357237,0.26824809589178766
13,2.039404723390489,133.3551993285791,0.29045885859054255
12,2.2877385959236496,141.24121408588294,0.34509533922174795
11,2.293561954060175,141.42086210812298,0.34641381944280863
10,2.3156907149789716,142.10145331634237,0.3514393011196895
9,2.504885150436752,147.79241696314628,0.3953768366788155
8,2.3701714655451314,143.76333044122742,0.3639143181685732
7,2.4097703008735043,144.9592943678223,0.3730722673665728
6,2.405370430281463,144.82689719818745,0.37205097487996885
5,2.5252021999352965,148.3905764643961,0.40019691242691396
