channel,height [mm],v_avg [mm/s],mdot [g/s]
18,3.529019734713685,175.42249595392073,0.6611661727432379
17,3.691685538660628,179.41989270178678,0.7074024272152234
16,3.483985765124556,174.29961523734394,0.6485508800816379
15,3.62012293756066,177.67237268503217,0.6869331482854091
14,3.7435781300549986,180.67651007831532,0.7223702427024241
13,3.587770947913297,176.87668773980351,0.6777453684672472
12,3.645486897444193,178.29370641083594,0.6941651518194518
11,3.647686832740214,178.3474955851488,0.6947936064664144
10,3.6752507279197677,179.02007247082767,0.7026838199735838
9,3.8644451633775483,183.5700460986275,0.7576353304083394
8,3.8473633128437403,183.16388314293133,0.7526174685305757
7,3.885150436751861,184.06116322699972,0.7637324696920631
6,4.070721449369136,188.40565553745694,0.819099335314936
5,4.014428987382725,187.09842535408296,0.8021676895070801
