channel,height [mm],v_avg [mm/s],mdot [g/s]
18,2.0910384988676807,135.03279494302922,0.30155916938839855
17,2.187965059851182,138.12695364012885,0.3227677008786894
16,2.0586865092203173,133.98412727036424,0.2945878446989156
15,2.0132643157554195,132.49779180570243,0.28489228533761074
14,2.026334519572954,132.9271868756582,0.28767108377607037
13,2.15522484632805,137.08960814000673,0.3155501368520155
12,2.465674538984148,146.63110850001024,0.3861296230293992
11,2.471497897120673,146.80416091818472,0.38749835489771284
10,2.3970883209317377,144.57735008819589,0.3701310754286753
9,2.458427693303139,146.4154687374369,0.38442856840097595
8,2.4914267227434492,147.39484733979975,0.39219465683614896
7,2.3868650922031707,144.26872011635666,0.3677657700346552
6,2.5796829505014562,149.98278343987587,0.41321777530158477
5,2.908767389194436,159.2622103129788,0.494758180900299
