channel,height [mm],v_avg [mm/s],mdot [g/s]
18,3.210546748625041,167.3199559168313,0.5737173611993909
17,3.474538984147525,174.0631492929116,0.6459148633803885
16,2.9628599158848274,160.73623880916116,0.5086232082096022
15,3.098997088320932,164.38751354698002,0.5440781027954207
14,3.1723714008411523,166.3222132348378,0.5635150692069778
13,3.1607246845681014,166.01662341293974,0.5604146727674801
12,3.2841798770624395,169.22780069475726,0.5935672062435803
11,3.154901326431576,165.86361736825634,0.5588666139998973
10,3.276544807505662,169.0309756271003,0.5914985199524959
9,3.381882885797477,171.72658141404318,0.6202508114176646
8,3.3985765124555165,172.14989744002787,0.6248489907294735
7,3.5045616305402785,174.81355044249636,0.654304711953082
6,3.6280168230346166,177.86597959379938,0.6891812183142408
5,3.5216434810740864,175.23906857480733,0.6590943310723307
