channel,height [mm],v_avg [mm/s],mdot [g/s]
18,2.278032999029441,140.94129186131624,0.3429015999233604
17,2.4708508573277266,146.78494294680834,0.3873461938672816
16,2.3451957295373673,143.00386974332494,0.3581773650241603
15,2.3190553219022974,142.20464973758075,0.35220552035776564
14,2.5565189259139443,149.30788671054722,0.40766461195886267
13,2.5768359754124885,149.8999990180017,0.4125339144763876
12,2.458427693303139,146.4154687374369,0.38442856840097595
11,2.471497897120673,146.80416091818472,0.38749835489771284
10,2.473697832416694,146.86948321102506,0.38801585138144723
9,2.7021028793270796,153.50028373827897,0.44297816065606477
8,2.7543836945972187,154.97814625581165,0.45589639004239263
7,2.703526366871563,153.54071095028846,0.44332825295238726
6,2.7329019734713684,154.37261806638617,0.45057342837789127
5,2.587318020058234,150.2045709521112,0.41505362865163975
