channel,height [mm],v_avg [mm/s],mdot [g/s]
18,2.824522808152702,156.93896548369233,0.47342057024634604
17,2.837593011970237,157.30165626712412,0.4767104300753912
16,2.7348430928502108,154.4274320503124,0.4510535620098708
15,2.7660304108702687,155.30545767225547,0.4587910329804836
14,2.9799417664186354,161.19892122210527,0.5130281091188726
13,3.0310579100614694,162.57559772529214,0.526284822968057
12,2.9795535425428668,161.18842046181172,0.5129278571897441
11,2.971530249110321,160.971251384345,0.5108574468310719
10,2.952636687156261,160.4586922295037,0.5059930045085443
9,3.081527013911356,163.9235052129713,0.5394838697767691
8,3.089162083468134,164.12645541728526,0.5414901221309997
7,3.0702685215140737,163.62378038537895,0.5365300303639695
6,3.3041087026852156,169.74047215503757,0.5989781572900413
5,3.4896797153024917,174.44198782815374,0.650141439737577
