channel,height [mm],v_avg [mm/s],mdot [g/s]
18,1.6320284697508898,119.29496324752256,0.2079318851074562
17,1.7343901649951476,122.97919433285327,0.2277978907001228
16,1.7275315431899072,122.7357937058949,0.22644799205254876
15,1.753283726949208,123.64721630104374,0.2315302805743657
14,1.7663539307667424,124.10723700206204,0.23412408271742505
13,1.6726625687479784,120.77093027497293,0.21574562744735892
12,1.8552571983176973,127.19214900822426,0.2520203922181616
11,1.994370753801359,131.87461079809054,0.28089133389688475
10,1.8584923972824337,127.30299958878749,0.252679889555327
9,1.926431575541896,129.6089631882199,0.2666612295018484
8,1.8025881591717896,125.37371633631192,0.24136498454386415
7,1.7589776771271435,123.84783140834035,0.23265906962281224
6,1.8534454868974448,127.13003046387475,0.25165132473484675
5,2.139178259462957,136.57830875551574,0.3120325925226918
