channel,height [mm],v_avg [mm/s],mdot [g/s]
18,3.2780977030087355,169.07102640676248,0.5919190746543723
17,3.1807829181494665,166.5425682708879,0.5657577877292347
16,3.275897767712715,169.01428500116452,0.591323318235263
15,3.3692009058557106,171.40429370077578,0.6167651957132985
14,3.316531866709803,170.05927754083132,0.6023594900909932
13,3.3386606276285997,170.62567413177123,0.6083981832658029
12,3.421093497250081,172.7192383494691,0.6310690922627358
11,3.7206729213846654,180.12292434466605,0.7157506242546453
10,3.49006793917826,174.45169081907585,0.6502499342713856
9,3.4301520543513426,172.94775486817895,0.633577219229181
8,3.5216434810740864,175.23906857480733,0.6590943310723307
7,3.372436104820447,171.4865675032138,0.6176537611778575
6,3.2823681656421875,169.18111716264283,0.593076113700206
5,3.6247816240698802,177.78665799741373,0.6882595820559616
