channel,height [mm],v_avg [mm/s],mdot [g/s]
18,1.8099644128113885,125.62997126368894,0.2428480100173404
17,1.833904885150437,126.45809819268916,0.24768214847728995
16,1.9537366548042714,130.52426452538717,0.27235072266085175
15,1.7852474927208029,124.76921950755882,0.23789052396263374
14,1.8731154966030417,127.80284476637647,0.2556679742966987
13,1.8258815917178914,126.18116927568876,0.2460585216476498
12,1.999417664186348,132.04136485096234,0.2819582342217561
11,2.190423811064381,138.20454273460552,0.3233119246449586
10,1.9863474603688136,131.6090796807578,0.27919801374595393
9,1.9903591070850863,131.74191213802064,0.28004424720210513
8,2.23325784535749,139.5493045898736,0.33284175068120436
7,2.2071174377224203,138.73018437578574,0.3270149880912917
6,2.0850857327725665,134.840452349348,0.3002723688250319
5,2.094532513749596,135.14556418875344,0.30231531920557875
