channel,height [mm],v_avg [mm/s],mdot [g/s]
18,2.5362018764154,148.71341688745602,0.4028146197512632
17,2.6879974118408287,153.09910983167742,0.4395140517295062
16,2.5587188612099654,149.37211409681163,0.4081909303844446
15,2.5681656421869947,149.64760071538268,0.4104535748012853
14,2.8309932060821743,157.1186200201509,0.47504826454222554
13,2.792170818505338,156.0375901421403,0.46531009097814546
12,2.641798770624394,151.77774962043915,0.4282319788755814
11,2.8291814946619223,157.06833746319455,0.47459232244306054
10,2.958071821417018,160.6063083529299,0.5073907747460964
9,2.9765771594953097,161.10789189483893,0.5121594760721631
8,2.9594953089615017,160.6449473035,0.5077570697738851
7,2.977353607246846,161.12890322717556,0.51235988630051
6,3.1665480427046266,166.16948857231387,0.5619641582740098
5,3.3732125525719834,171.5063073429887,0.6178670803313133
