channel,height [mm],v_avg [mm/s],mdot [g/s]
18,1.7333549013264324,122.94248549450468,0.22759396108044797
17,1.586606276285993,117.62315558262266,0.19931190819206174
16,1.6334519572953745,119.34697762245872,0.20820398787993155
15,1.6537690067939188,120.08690910854095,0.21210053697694947
14,1.7042381106438054,121.90552212600537,0.22188344720101474
13,1.7528955030734394,123.63352614400512,0.23145338434341098
12,1.8480103526366873,126.94349244837998,0.2505452046450869
11,1.8116467162730512,125.68834220364674,0.24318666775207892
10,1.970042057586542,131.06779445063782,0.2757672840503393
9,1.9849239728243298,131.56191334511732,0.27889794261759704
8,1.9805241022322884,131.4160194628705,0.2779711303553063
7,2.0720155289550313,134.41716933668806,0.29745344565501386
6,2.106179230022647,135.52078396245162,0.30484037252653284
5,2.0909090909090917,135.02861649564244,0.30153117596354206
