channel,height [mm],v_avg [mm/s],mdot [g/s]
18,2.128437398900033,136.2349959386658,0.3096854613017002
17,2.0739566483338736,134.4801173909042,0.29787153701173336
16,2.163636363636364,137.35686765105376,0.31739925497286775
15,2.153801358783566,137.04432804239912,0.3152375656279884
14,2.1083791653186683,135.591542219929,0.30531811262739983
13,2.0804270462633454,134.68973176681425,0.29926658775750686
12,2.2449045616305408,139.91271485257624,0.3354488588452425
11,2.1156260109996765,135.82436753365423,0.3068936072937399
10,2.226399223552249,139.3348528881974,0.33130962884736487
9,2.118861209964413,135.92817864920312,0.3075978253464113
8,2.2187641539954712,139.09573473992836,0.3296068330692095
7,2.239081203494015,139.73112786515327,0.3341444571982036
6,2.3131025558071827,142.02202042865972,0.35085028032797416
5,2.2103526366871566,138.8318226917446,0.32773426074609063
