channel,height [mm],v_avg [mm/s],mdot [g/s]
18,1.6247816240698807,119.02981039172231,0.20654847514858005
17,1.7114849563248145,122.16443352773501,0.22330020631294625
16,1.6955677774183116,121.59502875976337,0.22019235032014056
15,1.683921061145261,121.1766959988045,0.2179275258672257
14,1.7506955677774183,123.55591993514145,0.23101779989852544
13,1.9598188288579754,130.72727407714714,0.2736234937580237
12,1.94208993853122,130.1346389859066,0.26991902879488855
11,2.08185053380783,134.7358031660638,0.2995737903989088
10,2.11484956324814,135.79944105747927,0.3067246750352147
9,2.218375930119703,139.0835652068346,0.32952032839652123
8,2.124684568100939,136.11483913901594,0.3088667728863671
7,2.103979294726626,135.4499887412922,0.3043628818638525
6,2.218375930119703,139.0835652068346,0.32952032839652123
5,2.272468456810094,140.76904824351135,0.3416459609128999
