channel,height [mm],v_avg [mm/s],mdot [g/s]
18,2.6465868650922038,151.91523117714044,0.4293967216108444
17,2.7555483662245237,155.01090849833068,0.45618557944440397
16,2.596117761242317,150.4597849195359,0.4171728897411029
15,2.7660304108702687,155.30545767225547,0.4587910329804836
14,2.7453251374959566,154.7230920029869,0.4536492270071288
13,2.8084762212876093,156.49253224875605,0.46939193341253643
12,2.8052410223228734,156.40237119256045,0.46858109929867975
11,3.0071174377224206,161.9322823186887,0.5200619484032877
10,2.7318667098026532,154.3433759818643,0.4503174268126014
9,3.010352636687157,162.01936610143866,0.5209014349016213
8,3.279780006470398,169.11440404773887,0.5923747880036618
7,3.201747007440958,167.0904961536866,0.5713602377620596
6,3.133419605305727,165.29797021822722,0.5531683578397697
5,3.3226140407635074,170.21514161630213,0.6040172464098457
