channel,height [mm],v_avg [mm/s],mdot [g/s]
18,1.5819475897767719,117.450342625526,0.1984347059124806
17,1.6861209964412813,121.25582496922767,0.21835472790608057
16,1.7082497573600781,122.04891594840112,0.22266735316665115
15,1.541572306696862,115.94184108593687,0.19088655714110467
14,1.7078615334843095,122.03504649068309,0.2225914510298187
13,1.7673891944354585,124.14360142785128,0.23432994378297503
12,1.7605305726302172,123.90248824513372,0.23296723864398902
11,1.9002911679068273,128.72660557999478,0.26125205781105354
10,2.0629569718537697,134.12302112077882,0.2955049429696907
9,1.9137495956001302,129.18164139549063,0.26403236333019275
8,1.850857327725656,127.04123699715666,0.2511243983200464
7,1.9013264315755425,128.7616654262391,0.26146557898229955
6,1.7684244581041737,124.17995520480909,0.23453586514981672
5,2.0716273050792635,134.40457618805686,0.29736985087598217
