channel,height [mm],v_avg [mm/s],mdot [g/s]
18,4.132190229699127,189.82280896398194,0.8377220656221106
17,4.002911679068263,186.82984194575351,0.7987180645531076
16,4.411064380459399,196.1236380388809,0.92394174550594
15,4.184082821093497,191.011000206625,0.8535518420375271
14,4.236363636363636,192.20065272805638,0.8695996223174631
13,4.125202199935297,189.66223446810855,0.8355979314198145
12,4.138272403752831,189.96245776659313,0.8395723117018248
11,4.256292461986413,192.6522002690899,0.8757430271201729
10,4.05583953413135,188.0609495286711,0.8146116962315418
9,4.147330960854093,190.17025524158004,0.8423305185399217
8,4.018052410223229,187.18284381092877,0.8032539891443725
7,3.9853121967000975,186.41867491006596,0.7934563088909558
6,3.89705596894209,184.34296311271294,0.7672456941725687
5,3.963830475574248,185.91557693482127,0.7870496021604119
