channel,height [mm],v_avg [mm/s],mdot [g/s]
18,1.9414428987382726,130.1129589126223,0.2697841479625372
17,1.9563248139760603,130.61069013626434,0.2728920856018318
16,1.875315431899062,127.8778736379356,0.25611852162021165
15,1.8208346813329026,126.00666022565201,0.24503903321500872
14,2.056486573924297,133.91251967093996,0.2941157711009503
13,2.1534131349077974,137.0319763281403,0.3151523368528543
12,2.2147525072791985,138.96993150849076,0.3287133165334981
11,1.9769006793917834,131.29574983332992,0.27720864572594345
10,2.112390812034941,135.72047701413626,0.3061899274778378
9,2.4566159818828863,146.36150915462292,0.3840036960532237
8,2.302620511161437,141.69986188182304,0.3484681169688807
7,2.274668392106115,140.8371697357105,0.34214219280484687
6,2.3679715302491107,143.69659614539327,0.36340777117528306
5,2.347266256874798,143.06698347259663,0.35865181136700064
