channel,height [mm],v_avg [mm/s],mdot [g/s]
18,3.9259139437075383,185.02424054466414,0.775783714597912
17,3.933549013264316,185.20406959801085,0.7780479166147372
16,3.6691685538660628,178.87188093636206,0.7009402341903492
15,3.5863474603688132,176.84159537398446,0.6773420540961385
14,3.707990941442899,179.8156862161421,0.7120942712408717
13,3.651698479456487,178.44553998590317,0.6959400999105118
12,3.6774506632157884,179.0736434633575,0.7033148341652695
11,3.6887091556130707,179.34755040687332,0.7065470959057479
10,3.7108379165318675,179.8847037192376,0.7129145417486984
9,3.752248463280492,180.8856174487234,0.7248812691484184
8,3.5928178582982855,177.00105006570172,0.679175945899327
7,3.803752830799094,182.122828565142,0.7398572399879273
6,3.9827240375283086,186.35813265657833,0.7926834995076205
5,3.8203170494985446,182.518943322679,0.7446952867422713
