channel,height [mm],v_avg [mm/s],mdot [g/s]
18,1.735166612746684,123.00671877239508,0.2279508778632826
17,1.6167583306373352,118.73555761926403,0.20502043765463382
16,1.5942413458427698,117.90582909995989,0.20075233130838555
15,1.6857327725655136,121.24186478593639,0.21827931904821912
14,1.655968942089939,120.1667556981725,0.21252389954881892
13,1.6871562601099974,121.29304426948471,0.21855586063546026
12,1.668262698155937,120.61198418034492,0.21489492240143118
11,1.8948560336460698,128.54238450174222,0.2601320261263411
10,2.012876091879651,132.48501621387436,0.2848098843427009
9,2.0241345842769336,132.85500959653297,0.28720273615286374
8,1.9147848592688463,129.21657777864397,0.26424663907248436
7,2.012876091879651,132.48501621387436,0.2848098843427009
6,1.9071497897120677,128.95869945951392,0.262667718401545
5,1.9310902620511161,129.7655851336776,0.26762911373147863
