channel,height [mm],v_avg [mm/s],mdot [g/s]
18,2.237010676156584,139.6665067082492,0.33368107833718236
17,2.006405693950178,132.27190801997813,0.2834377048402022
16,1.9911355548366227,131.76760617911881,0.2802081329024022
15,1.9083144613393728,128.9980701517636,0.2629083667828542
14,2.0836622452280817,134.79441671815965,0.2999649274980258
13,2.071368489162084,134.39618010008087,0.2973141253746279
12,2.207505661598189,138.74238490503257,0.3271012729938361
11,2.037204788094469,133.28325383251934,0.2899890021162873
10,2.1980588806211587,138.4452001299305,0.3250038293354652
9,2.394500161759949,144.49927823538346,0.3695317861762214
8,2.3683597541248793,143.70837503767467,0.3634971447302673
7,2.173341960530573,137.66459928328197,0.31953732310891864
6,2.396958912973148,144.5734474968549,0.370101103278707
5,2.3973471368489165,144.5851549548658,0.370191022155714
