channel,height [mm],v_avg [mm/s],mdot [g/s]
18,1.9094791329666778,129.03742883159688,0.2631490886109483
17,1.8694920737625367,127.67917168907906,0.2549264730203957
16,1.8077644775153674,125.55359908793537,0.24240538733434094
15,1.7122614040763509,122.19214149668457,0.2234521801343115
14,1.7609187965059858,123.916148687458,0.2330443021425529
13,1.9417017146554523,130.12163137540026,0.2698380975987452
12,1.9976059527660954,131.9815286626138,0.28157508924879565
11,2.175930119702362,137.7465449432566,0.3201082822368009
10,1.8988676803623425,128.6783826940626,0.260958561159068
9,2.06515690714979,134.19451639447183,0.29597775823915873
8,2.08185053380783,134.7358031660638,0.2995737903989088
7,2.1926237463604012,138.27392765182705,0.3237991206864064
6,2.330572630216759,142.55733350301605,0.354832554638331
5,2.4896150113231967,147.34124642725905,0.391766941457056
