channel,height [mm],v_avg [mm/s],mdot [g/s]
18,1.9541248786800391,130.53723201481614,0.27243190425602504
17,1.9690067939178268,131.033351643631,0.2755499376700301
16,1.8186347460368815,125.93051649795459,0.24459508256604043
15,2.027110967324491,132.9526518542205,0.2878364436607477
14,2.005241022322873,132.23351207109133,0.28319094721007215
13,2.0412164348107416,133.41441942889708,0.2908459895583701
12,1.992170818505338,131.8018571089442,0.2804266968791419
11,2.1385312196700106,136.5576516915932,0.31189103192435136
10,2.2764801035263673,140.8932450572061,0.342551034592386
9,2.293173730184407,141.4088926737213,0.34632586863062537
8,2.3701714655451314,143.76333044122742,0.3639143181685732
7,2.2993853121967005,141.6002822114251,0.34773397454000904
6,2.405370430281463,144.82689719818745,0.37205097487996885
5,2.5836945972177294,150.09935671993603,0.41418203799937
